table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of Housing Units for the United States, Regions, and States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Housing Unit Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"131,704,730","131,705,135","131,825,383","132,312,816","132,834,047","133,538,615","134,388,318","135,285,123","136,286,436","137,366,902","138,516,439","139,684,244"
Northeast Region,"23,647,636","23,647,701","23,665,480","23,733,706","23,798,264","23,865,607","23,941,687","24,023,978","24,123,311","24,224,850","24,329,061","24,435,406"
Midwest Region,"29,483,646","29,483,796","29,497,733","29,561,146","29,628,213","29,723,041","29,837,813","29,963,289","30,091,846","30,237,249","30,392,014","30,534,299"
South Region,"49,980,829","49,981,037","50,039,825","50,273,534","50,535,451","50,901,443","51,334,156","51,791,221","52,299,966","52,836,554","53,409,404","54,015,453"
West Region,"28,592,619","28,592,601","28,622,345","28,744,430","28,872,119","29,048,524","29,274,662","29,506,635","29,771,313","30,068,249","30,385,960","30,699,086"
.Alabama,"2,171,853","2,171,865","2,174,761","2,181,026","2,191,746","2,203,508","2,213,610","2,225,606","2,238,800","2,254,615","2,270,705","2,284,847"
.Alaska,"306,967","306,971","307,181","308,498","310,002","311,243","312,396","313,933","315,361","316,910","318,307","319,854"
.Arizona,"2,844,526","2,844,503","2,849,425","2,859,978","2,872,651","2,891,186","2,914,100","2,936,981","2,966,542","3,000,102","3,037,005","3,075,981"
.Arkansas,"1,316,299","1,316,330","1,318,072","1,324,638","1,330,927","1,338,640","1,345,392","1,352,639","1,360,401","1,369,522","1,379,970","1,389,129"
.California,"13,680,081","13,680,083","13,688,147","13,728,423","13,771,156","13,827,794","13,906,691","13,985,614","14,075,264","14,172,348","14,275,353","14,366,336"
.Colorado,"2,212,898","2,212,897","2,215,012","2,226,631","2,239,177","2,261,232","2,287,950","2,316,814","2,347,589","2,384,092","2,422,816","2,464,164"
.Connecticut,"1,487,891","1,487,915","1,488,645","1,491,803","1,494,237","1,498,157","1,502,807","1,507,299","1,512,528","1,517,251","1,521,019","1,524,992"
.Delaware,"405,885","405,891","406,498","408,937","411,192","414,557","418,666","423,137","427,667","432,753","438,617","443,781"
.District of Columbia,"296,719","296,739","296,688","296,365","299,822","302,495","304,590","307,566","311,257","314,702","319,462","322,793"
.Florida,"8,989,580","8,989,565","8,995,100","9,020,844","9,049,994","9,100,944","9,173,108","9,242,686","9,337,379","9,438,687","9,545,770","9,673,682"
.Georgia,"4,088,801","4,088,897","4,091,968","4,103,201","4,115,888","4,134,096","4,163,931","4,196,717","4,235,301","4,280,497","4,325,462","4,378,391"
.Hawaii,"519,508","519,513","520,088","523,213","525,678","528,391","531,961","534,723","539,757","542,815","545,974","550,273"
.Idaho,"667,796","667,795","668,964","673,018","676,966","683,118","691,574","700,080","709,739","721,587","735,514","751,105"
.Illinois,"5,296,715","5,296,908","5,297,593","5,302,784","5,307,183","5,313,209","5,320,642","5,333,389","5,344,777","5,358,908","5,375,571","5,388,066"
.Indiana,"2,795,541","2,795,457","2,797,490","2,806,770","2,815,736","2,826,106","2,840,421","2,854,584","2,869,448","2,884,772","2,903,203","2,921,032"
.Iowa,"1,336,417","1,336,418","1,337,792","1,343,427","1,348,745","1,356,423","1,366,191","1,375,304","1,385,453","1,397,680","1,409,413","1,418,626"
.Kansas,"1,233,215","1,233,211","1,234,456","1,238,052","1,241,992","1,246,675","1,253,284","1,258,999","1,265,684","1,273,536","1,280,649","1,288,401"
.Kentucky,"1,927,164","1,927,156","1,928,556","1,934,697","1,940,609","1,948,490","1,955,535","1,963,049","1,972,133","1,983,422","1,994,543","2,006,358"
.Louisiana,"1,964,981","1,964,981","1,968,181","1,978,988","1,990,709","2,002,712","2,015,806","2,030,269","2,043,163","2,060,665","2,075,397","2,089,777"
.Maine,"721,830","721,811","722,481","724,968","727,147","729,642","732,586","735,433","738,762","742,490","746,534","750,939"
